Full Name,First Name,Last Name,First Last,List of Congresses,Chamber,State,Gender,Party,Ethnicity,BirthYear,Congress Name,Alternative name (Wikipedia),Congress ID
"DICKINSON, WILLIAM",DICKINSON,WILLIAM,WILLIAM DICKINSON,97 98 99 100 101 102,H,AL,M,R,W,1925,"DICKINSON, WILLIAM L.",WILLIAM DICKINSON,D000326
"DICKS, NORMAN",DICKS,NORMAN,NORMAN DICKS,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112,H,WA,M,D,W,1940,"DICKS, NORMAN D.",NORMAN DICKS,D000327
"DINGELL, DEBBIE",DINGELL,DEBBIE,DEBBIE DINGELL,114,H,MI,F,D,W,1953,"DINGELL, DEBBIE",DEBBIE DINGELL,D000624
"DINGELL, JOHN",DINGELL,JOHN,JOHN DINGELL,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113,H,MI,M,D,W,1926,"DINGELL, JOHN D.",JOHN DINGELL,D000355
"DIOGUARDI, JOSEPH",DIOGUARDI,JOSEPH,JOSEPH DIOGUARDI,99 100,H,NY,M,R,W,1940,"DIOGUARDI, JOSEPH J.",JOSEPH DIOGUARDI,D000359
"DIXON, ALAN",DIXON,ALAN,ALAN DIXON,97 98 99 100 101 102,S,IL,M,D,W,1927,"DIXON, ALAN J.",ALAN DIXON,D000366
"DIXON, JULIAN",DIXON,JULIAN,JULIAN DIXON,97 98 99 100 101 102 103 104 105 106,H,CA,M,D,B,1934,"DIXON, JULIAN C.",JULIAN DIXON,D000373
"DJOU, CHARLES",DJOU,CHARLES,CHARLES DJOU,111,H,HI,M,R,AAPIA,1970,"DJOU, CHARLES K.",CHARLES DJOU,D000611
"DODD, CHRISTOPHER",DODD,CHRISTOPHER,CHRISTOPHER DODD,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111,S,CT,M,D,W,1944,"DODD, CHRISTOPHER J.",CHRISTOPHER DODD,D000388
"DOGGETT, LLOYD",DOGGETT,LLOYD,LLOYD DOGGETT,104 105 106 107 108 109 110 111 112 113 114,H,TX,M,D,W,1946,"DOGGETT, LLOYD",LLOYD DOGGETT,D000399
"DOLD, BOB",DOLD,BOB,BOB DOLD,112 114,H,IL,M,R,W,1969,"DOLD, ROBERT J.",ROBERT DOLD,D000613
"DOLE, ELIZABETH",DOLE,ELIZABETH,ELIZABETH DOLE,108 109 110,S,NC,F,R,W,1936,"DOLE, ELIZABETH",ELIZABETH DOLE,D000601
"DOLE, ROBERT",DOLE,ROBERT,ROBERT DOLE,97 98 99 100 101 102 103 104,S,KS,M,R,W,1923,"DOLE, ROBERT J.",ROBERT DOLE,D000401
"DOMENICI, PETE",DOMENICI,PETE,PETE DOMENICI,97 98 99 100 101 102 103 104 105 106 107 108 109 110,S,NM,M,R,W,1932,"DOMENICI, PETE V.",PETE DOMENICI,D000407
"DONNELLY, BRIAN",DONNELLY,BRIAN,BRIAN DONNELLY,97 98 99 100 101 102,H,MA,M,D,W,1946,"DONNELLY, BRIAN J.",BRIAN DONNELLY,D000416
"DONNELLY, JOE",DONNELLY,JOE,JOE DONNELLY,110 111 112 113 114,H,IN,M,D,W,1955,"DONNELLY, JOE",JOE DONNELLY,D000607
"DONOVAN, DANIEL",DONOVAN,DANIEL,DANIEL DONOVAN,114,H,NY,M,R,W,1956,"DONOVAN, DANIEL M., JR.",DANIEL DONOVAN,D000625
